"fecha_UTC","hora_UTC","latitud(º)","longitud(º)","profundidad_km","magnitud_mb","magnitud_Ms","magnitud_Mw"
"06/05/1946","17:30:00.00","-16.5","-71.72","20","3.5","",""
"07/05/1946","23:18:00.00","-15.65","-74.15","20","4.1","",""
"08/05/1946","15:45:00.00","-17.9","-70","30","3.7","",""
"10/05/1946","09:10:00.00","-12","-77.8","40","4.8","",""
"22/05/1946","14:20:00.00","-18.1","-69.85","30","3.4","",""
"26/05/1946","09:00:00.00","-17.3","-72.4","30","4.2","",""
"27/05/1946","04:15:00.00","-17.3","-72.4","30","4.2","",""
"29/05/1946","10:50:00.00","-11.2","-78","40","3.9","",""
"30/05/1946","16:56:00.00","-13.544","-71.964","25","3.3","",""
"02/06/1946","04:15:00.00","-15.6","-74.8","60","3.8","",""
"04/06/1946","13:35:00.00","-10.7","-78.2","40","3.9","",""
"06/06/1946","04:00:00.00","-11.66","-76.32","30","3","",""
"10/06/1946","17:00:00.00","-5.85","-77","30","4.4","",""
"16/06/1946","04:05:00.00","-17.3","-72.4","30","4.2","",""
"26/06/1946","20:20:00.00","-3.617","-81.331","30","4.9","",""
"27/06/1946","11:45:00.00","-17.8","-70.2","30","3.6","",""
"01/07/1946","11:00:00.00","-5.6","-78.96","20","3.4","",""
"04/07/1946","03:16:00.00","-8.3","-79.4","40","4.7","",""
"04/07/1946","04:41:00.00","-15.65","-74.15","20","4.6","",""
"12/07/1946","16:15:00.00","-5.6","-78.96","20","3.4","",""
"12/07/1946","23:00:00.00","-5.6","-78.96","25","3","",""
"13/07/1946","12:43:00.00","-5.6","-78.96","25","3","",""
"18/07/1946","11:51:00.00","-18.1","-70","30","4.2","",""
"23/07/1946","14:35:00.00","-4","-80.7","30","4.2","",""
"26/07/1946","06:44:45.00","-19.75","-70.5","200","","6.8",""
"01/08/1946","21:21:00.00","-9","-75.2","30","4.6","",""
"06/08/1946","13:17:00.00","-18","-69.2","30","4.2","",""
"07/08/1946","15:15:00.00","-9.04","-77.78","25","3.2","",""
"12/08/1946","15:38:00.00","-9.6","-78.7","40","4.4","",""
"16/08/1946","13:18:00.00","-14.4","-76.3","40","4.6","",""
"17/08/1946","15:32:00.00","-9.4","-75.4","30","4.6","",""
"25/08/1946","01:20:00.00","-6.2","-77.3","20","4.1","",""
"02/09/1946","10:10:00.00","-5","-78.9","30","3.9","",""
"16/09/1946","12:56:00.00","-15.8","-74.6","60","4.4","",""
"22/09/1946","02:55:00.00","-11.9","-77.5","40","4.4","",""
"26/09/1946","20:50:00.00","-12","-77.8","40","4.3","",""
"27/09/1946","18:30:00.00","-12","-77.8","40","4.3","",""
"30/09/1946","00:59:40.00","-14.332","-76.664","50","6","7",""
"09/10/1946","08:30:00.00","-13.5","-76","90","4.9","",""
"10/10/1946","16:13:45.00","-11.83","-76.6","30","3","",""
